[2025-10-22 22:09:37] ✓ Loaded normalization parameters from metadata
[2025-10-22 22:09:37]   Type: minmax
[2025-10-22 22:09:37]   Feature range: [0.0000, 5.9859] (min)
[2025-10-22 22:09:37]   Feature range: [9.3461, 100.0000] (range)
[2025-10-22 22:09:41] Train batches: 18368
[2025-10-22 22:09:41] Val batches: 2296
[2025-10-22 22:09:41] Test batches: 2296
[2025-10-22 22:09:41] Model created: 134,497 parameters
[2025-10-22 22:09:41] ======================================================================
[2025-10-22 22:09:41] Starting training
[2025-10-22 22:09:41] ======================================================================
[2025-10-22 22:10:18] Epoch 0 [9900/18368] Power Loss: 9.2195
[2025-10-22 22:10:18] Epoch 0 [10000/18368] Power Loss: 9.2039
[2025-10-22 22:10:19] Epoch 0 [10100/18368] Power Loss: 9.1891
[2025-10-22 22:10:19] Epoch 0 [10200/18368] Power Loss: 9.1734
[2025-10-22 22:10:19] Epoch 0 [10300/18368] Power Loss: 9.1578
[2025-10-22 22:10:20] Epoch 0 [10400/18368] Power Loss: 9.1424
[2025-10-22 22:10:20] Epoch 0 [10500/18368] Power Loss: 9.1268
[2025-10-22 22:10:20] Epoch 0 [10600/18368] Power Loss: 9.1120
[2025-10-22 22:10:21] Epoch 0 [10700/18368] Power Loss: 9.0969
[2025-10-22 22:10:21] Epoch 0 [10800/18368] Power Loss: 9.0821
[2025-10-22 22:10:22] Epoch 0 [10900/18368] Power Loss: 9.0671
[2025-10-22 22:10:22] Epoch 0 [11000/18368] Power Loss: 9.0521
[2025-10-22 22:10:22] Epoch 0 [11100/18368] Power Loss: 9.0376
[2025-10-22 22:10:23] Epoch 0 [11200/18368] Power Loss: 9.0231
[2025-10-22 22:10:23] Epoch 0 [11300/18368] Power Loss: 9.0082
[2025-10-22 22:10:23] Epoch 0 [11400/18368] Power Loss: 8.9940
[2025-10-22 22:10:24] Epoch 0 [11500/18368] Power Loss: 8.9800
[2025-10-22 22:10:24] Epoch 0 [11600/18368] Power Loss: 8.9660
[2025-10-22 22:10:24] Epoch 0 [11700/18368] Power Loss: 8.9522
[2025-10-22 22:10:25] Epoch 0 [11800/18368] Power Loss: 8.9388
[2025-10-22 22:10:25] Epoch 0 [11900/18368] Power Loss: 8.9244
[2025-10-22 22:10:26] Epoch 0 [12000/18368] Power Loss: 8.9110
[2025-10-22 22:10:26] Epoch 0 [12100/18368] Power Loss: 8.8970
[2025-10-22 22:10:26] Epoch 0 [12200/18368] Power Loss: 8.8827
[2025-10-22 22:10:27] Epoch 0 [12300/18368] Power Loss: 8.8690
[2025-10-22 22:10:27] Epoch 0 [12400/18368] Power Loss: 8.8557
[2025-10-22 22:10:27] Epoch 0 [12500/18368] Power Loss: 8.8424
[2025-10-22 22:10:28] Epoch 0 [12600/18368] Power Loss: 8.8291
[2025-10-22 22:10:28] Epoch 0 [12700/18368] Power Loss: 8.8157
[2025-10-22 22:10:28] Epoch 0 [12800/18368] Power Loss: 8.8027
[2025-10-22 22:10:29] Epoch 0 [12900/18368] Power Loss: 8.7891
[2025-10-22 22:10:29] Epoch 0 [13000/18368] Power Loss: 8.7758
[2025-10-22 22:10:30] Epoch 0 [13100/18368] Power Loss: 8.7624
[2025-10-22 22:10:30] Epoch 0 [13200/18368] Power Loss: 8.7488
[2025-10-22 22:10:30] Epoch 0 [13300/18368] Power Loss: 8.7357
[2025-10-22 22:10:31] Epoch 0 [13400/18368] Power Loss: 8.7227
[2025-10-22 22:10:31] Epoch 0 [13500/18368] Power Loss: 8.7094
[2025-10-22 22:10:31] Epoch 0 [13600/18368] Power Loss: 8.6962
[2025-10-22 22:10:32] Epoch 0 [13700/18368] Power Loss: 8.6835
[2025-10-22 22:10:32] Epoch 0 [13800/18368] Power Loss: 8.6700
[2025-10-22 22:10:33] Epoch 0 [13900/18368] Power Loss: 8.6572
[2025-10-22 22:10:33] Epoch 0 [14000/18368] Power Loss: 8.6445
[2025-10-22 22:10:33] Epoch 0 [14100/18368] Power Loss: 8.6321
[2025-10-22 22:10:34] Epoch 0 [14200/18368] Power Loss: 8.6199
[2025-10-22 22:10:34] Epoch 0 [14300/18368] Power Loss: 8.6073
[2025-10-22 22:10:34] Epoch 0 [14400/18368] Power Loss: 8.5949
[2025-10-22 22:10:35] Epoch 0 [14500/18368] Power Loss: 8.5831
[2025-10-22 22:10:35] Epoch 0 [14600/18368] Power Loss: 8.5705
[2025-10-22 22:10:35] Epoch 0 [14700/18368] Power Loss: 8.5586
[2025-10-22 22:10:36] Epoch 0 [14800/18368] Power Loss: 8.5460
[2025-10-22 22:10:36] Epoch 0 [14900/18368] Power Loss: 8.5341
[2025-10-22 22:10:37] Epoch 0 [15000/18368] Power Loss: 8.5222
[2025-10-22 22:10:37] Epoch 0 [15100/18368] Power Loss: 8.5106
[2025-10-22 22:10:37] Epoch 0 [15200/18368] Power Loss: 8.4989
[2025-10-22 22:10:38] Epoch 0 [15300/18368] Power Loss: 8.4870
[2025-10-22 22:10:38] Epoch 0 [15400/18368] Power Loss: 8.4749
[2025-10-22 22:10:38] Epoch 0 [15500/18368] Power Loss: 8.4633
[2025-10-22 22:10:39] Epoch 0 [15600/18368] Power Loss: 8.4515
[2025-10-22 22:10:39] Epoch 0 [15700/18368] Power Loss: 8.4399
[2025-10-22 22:10:40] Epoch 0 [15800/18368] Power Loss: 8.4284
[2025-10-22 22:10:40] Epoch 0 [15900/18368] Power Loss: 8.4166
[2025-10-22 22:10:40] Epoch 0 [16000/18368] Power Loss: 8.4044
[2025-10-22 22:10:41] Epoch 0 [16100/18368] Power Loss: 8.3925
[2025-10-22 22:10:41] Epoch 0 [16200/18368] Power Loss: 8.3805
[2025-10-22 22:10:41] Epoch 0 [16300/18368] Power Loss: 8.3689
[2025-10-22 22:10:42] Epoch 0 [16400/18368] Power Loss: 8.3576
[2025-10-22 22:10:42] Epoch 0 [16500/18368] Power Loss: 8.3459
[2025-10-22 22:10:42] Epoch 0 [16600/18368] Power Loss: 8.3345
[2025-10-22 22:10:43] Epoch 0 [16700/18368] Power Loss: 8.3233
[2025-10-22 22:10:43] Epoch 0 [16800/18368] Power Loss: 8.3118
[2025-10-22 22:10:44] Epoch 0 [16900/18368] Power Loss: 8.3004
[2025-10-22 22:10:44] Epoch 0 [17000/18368] Power Loss: 8.2891
[2025-10-22 22:10:44] Epoch 0 [17100/18368] Power Loss: 8.2781
[2025-10-22 22:10:45] Epoch 0 [17200/18368] Power Loss: 8.2675
[2025-10-22 22:10:45] Epoch 0 [17300/18368] Power Loss: 8.2564
[2025-10-22 22:10:45] Epoch 0 [17400/18368] Power Loss: 8.2455
[2025-10-22 22:10:46] Epoch 0 [17500/18368] Power Loss: 8.2344
[2025-10-22 22:10:46] Epoch 0 [17600/18368] Power Loss: 8.2236
[2025-10-22 22:10:46] Epoch 0 [17700/18368] Power Loss: 8.2128
[2025-10-22 22:10:47] Epoch 0 [17800/18368] Power Loss: 8.2023
[2025-10-22 22:10:47] Epoch 0 [17900/18368] Power Loss: 8.1922
[2025-10-22 22:10:48] Epoch 0 [18000/18368] Power Loss: 8.1818
[2025-10-22 22:10:48] Epoch 0 [18100/18368] Power Loss: 8.1714
[2025-10-22 22:10:48] Epoch 0 [18200/18368] Power Loss: 8.1610
[2025-10-22 22:10:49] Epoch 0 [18300/18368] Power Loss: 8.1503
[2025-10-22 22:10:51] 
Epoch 0/100 Summary:
[2025-10-22 22:10:51]   Train Power Loss: 8.1431
[2025-10-22 22:10:51]   Val Power Loss:   2.1778
[2025-10-22 22:10:51]   Val MAE:    2.18W
[2025-10-22 22:10:51]   Val R²:     0.9622
[2025-10-22 22:10:51]   LR:         0.000500
[2025-10-22 22:10:51]   Time:       69.5s
[2025-10-22 22:10:51]   ✓ New best model! Val power loss: 2.1778
[2025-10-22 22:10:51] Epoch 1 [100/18368] Power Loss: 6.2290
[2025-10-22 22:10:52] Epoch 1 [200/18368] Power Loss: 6.2265
[2025-10-22 22:10:52] Epoch 1 [300/18368] Power Loss: 6.2279
[2025-10-22 22:10:52] Epoch 1 [400/18368] Power Loss: 6.2202
[2025-10-22 22:10:53] Epoch 1 [500/18368] Power Loss: 6.2318
[2025-10-22 22:10:53] Epoch 1 [600/18368] Power Loss: 6.2231
[2025-10-22 22:10:53] Epoch 1 [700/18368] Power Loss: 6.2151
[2025-10-22 22:10:54] Epoch 1 [800/18368] Power Loss: 6.2093
[2025-10-22 22:10:54] Epoch 1 [900/18368] Power Loss: 6.2028
[2025-10-22 22:10:55] Epoch 1 [1000/18368] Power Loss: 6.1971
[2025-10-22 22:10:55] Epoch 1 [1100/18368] Power Loss: 6.1942
[2025-10-22 22:10:55] Epoch 1 [1200/18368] Power Loss: 6.1925
[2025-10-22 22:10:56] Epoch 1 [1300/18368] Power Loss: 6.1866
